iter	Passed	Remaining
0	1	149
1	2	133
2	3	126
3	4	118
4	6	115
5	7	112
6	8	112
7	9	112
8	10	110
9	11	107
10	13	106
11	14	106
12	15	104
13	16	102
14	17	101
15	19	100
16	20	101
17	21	99
18	23	98
19	24	97
20	25	96
21	26	94
22	27	93
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	36	81
31	37	80
32	38	79
33	40	77
34	41	76
35	42	75
36	43	74
37	44	73
38	46	72
39	47	71
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	55	60
48	57	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	40
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	117	1
99	118	0
