iter	Passed	Remaining
0	145	144869
1	146	73277
2	148	49212
3	149	37271
4	151	30123
5	152	25292
6	154	21858
7	155	19323
8	157	17345
9	158	15726
10	160	14388
11	161	13298
12	163	12447
13	165	11629
14	166	10920
15	167	10298
16	168	9744
17	170	9276
18	171	8859
19	173	8500
20	174	8151
21	176	7836
22	178	7570
23	179	7297
24	180	7047
25	182	6822
26	183	6609
27	184	6417
28	186	6236
29	187	6069
30	189	5923
31	191	5794
32	193	5655
33	194	5514
34	195	5381
35	196	5260
36	197	5151
37	199	5048
38	201	4967
39	202	4867
40	204	4781
41	205	4697
42	207	4610
43	208	4527
44	209	4452
45	211	4382
46	212	4312
47	214	4246
48	215	4180
49	216	4117
50	218	4066
51	219	4010
52	221	3958
53	223	3910
54	224	3859
55	225	3806
56	226	3754
57	228	3705
58	229	3661
59	230	3615
60	232	3576
61	237	3597
62	239	3564
63	242	3546
64	244	3514
65	246	3489
66	250	3482
67	253	3478
68	255	3449
69	257	3420
70	259	3400
71	264	3410
72	266	3387
73	268	3359
74	270	3333
75	272	3309
76	273	3282
77	275	3256
78	277	3239
79	280	3224
80	282	3205
81	284	3189
82	285	3158
83	286	3129
84	288	3101
85	289	3081
86	291	3055
87	292	3034
88	294	3012
89	295	2989
90	296	2965
91	298	2942
92	300	2929
93	301	2910
94	303	2891
95	305	2874
96	308	2871
97	309	2852
98	311	2831
99	312	2813
100	313	2794
101	315	2774
102	316	2754
103	317	2734
104	318	2715
105	319	2695
106	320	2675
107	322	2664
108	323	2647
109	325	2631
110	326	2616
111	328	2600
112	329	2586
113	330	2570
114	331	2553
115	332	2536
116	333	2517
117	334	2502
118	336	2493
119	338	2479
120	339	2466
121	340	2449
122	341	2436
123	343	2423
124	344	2409
125	345	2395
126	346	2380
127	347	2366
128	348	2352
129	349	2338
130	350	2326
131	352	2316
132	353	2305
133	355	2294
134	356	2282
135	357	2271
136	359	2262
137	360	2250
138	361	2240
139	362	2229
140	364	2219
141	365	2211
142	367	2205
143	369	2196
144	370	2185
145	371	2173
146	372	2162
147	373	2151
148	374	2141
149	376	2131
150	377	2121
151	378	2110
152	379	2100
153	381	2094
154	383	2088
155	384	2079
156	385	2069
157	386	2060
158	387	2051
159	388	2041
160	389	2029
161	390	2020
162	391	2010
163	392	2001
164	393	1992
165	394	1983
166	396	1977
167	397	1969
168	398	1960
169	399	1952
170	400	1943
171	402	1935
172	403	1927
173	404	1918
174	405	1910
175	406	1901
176	407	1893
177	408	1885
178	409	1878
179	410	1872
180	412	1864
181	413	1856
182	414	1848
183	415	1840
184	415	1832
185	416	1824
186	417	1816
187	418	1808
